n_messages,runs,mean_rate_percent,std_rate_percent,ci95_low_percent,ci95_high_percent,mean_original_size_bytes,mean_compressed_size_bytes,std_compressed_size_bytes,prob_fit_222_bytes
96,100,74.700275,0.258198,74.649668,74.750882,1665.040000,421.220000,3.141704,0.000000
97,100,74.798268,0.229219,74.753341,74.843195,1681.970000,423.860000,3.431936,0.000000
98,100,74.850254,0.221444,74.806851,74.893657,1697.360000,426.860000,3.190959,0.000000
99,100,74.922644,0.219463,74.879629,74.965659,1715.120000,430.080000,3.030751,0.000000
100,100,75.057658,0.203634,75.017745,75.097570,1736.400000,433.080000,3.142025,0.000000
101,100,75.124507,0.216016,75.082167,75.166846,1750.790000,435.500000,3.063305,0.000000
102,100,75.223353,0.207172,75.182748,75.263959,1768.110000,438.060000,3.268521,0.000000
103,100,75.316798,0.221550,75.273374,75.360222,1788.910000,441.540000,3.179543,0.000000
104,100,75.381171,0.211789,75.339660,75.422681,1804.040000,444.110000,2.806540,0.000000
105,100,75.419081,0.198724,75.380131,75.458031,1819.460000,447.220000,3.277040,0.000000
106,100,75.507022,0.208985,75.466061,75.547983,1838.250000,450.220000,2.935605,0.000000
107,100,75.587350,0.191536,75.549809,75.624891,1854.720000,452.770000,3.335923,0.000000
108,100,75.649389,0.184286,75.613269,75.685509,1872.750000,456.010000,3.125312,0.000000
109,100,75.732166,0.198856,75.693190,75.771141,1889.700000,458.570000,3.182195,0.000000
110,100,75.796953,0.189292,75.759852,75.834054,1905.880000,461.260000,3.243081,0.000000
111,100,75.878953,0.187743,75.842155,75.915750,1923.660000,463.990000,3.026799,0.000000
112,100,75.932889,0.190369,75.895577,75.970201,1942.340000,467.450000,3.427091,0.000000
113,100,75.969535,0.190965,75.932106,76.006964,1955.060000,469.790000,3.254507,0.000000
114,100,76.061194,0.192562,76.023452,76.098937,1974.650000,472.690000,3.356571,0.000000
115,100,76.185524,0.202329,76.145867,76.225180,1996.020000,475.320000,2.984404,0.000000
116,100,76.234872,0.168303,76.201885,76.267860,2013.760000,478.560000,3.232787,0.000000
117,100,76.271688,0.170133,76.238342,76.305034,2030.060000,481.680000,2.799278,0.000000
118,100,76.337631,0.164004,76.305486,76.369776,2045.710000,484.050000,3.508647,0.000000
119,100,76.412220,0.183625,76.376229,76.448210,2064.170000,486.880000,3.906172,0.000000
120,100,76.496451,0.179689,76.461232,76.531670,2082.390000,489.420000,3.373036,0.000000
121,100,76.512250,0.161651,76.480566,76.543933,2097.150000,492.560000,3.352430,0.000000
122,100,76.602754,0.164142,76.570582,76.634926,2118.270000,495.600000,3.165470,0.000000
123,100,76.693285,0.173800,76.659221,76.727350,2133.530000,497.240000,3.393755,0.000000
124,100,76.710325,0.154255,76.680091,76.740559,2149.230000,500.540000,3.945129,0.000000
125,100,76.801082,0.149031,76.771872,76.830292,2169.770000,503.350000,3.282568,0.000000
126,100,76.850920,0.156729,76.820201,76.881639,2187.270000,506.320000,3.354117,0.000000
127,100,76.913422,0.167701,76.880552,76.946291,2203.320000,508.660000,3.635459,0.000000
128,100,76.967433,0.156821,76.936696,76.998170,2219.480000,511.190000,3.329376,0.000000
129,100,76.993464,0.157427,76.962608,77.024320,2236.570000,514.540000,3.409494,0.000000
130,100,77.063701,0.178902,77.028636,77.098766,2252.250000,516.570000,3.696176,0.000000
131,100,77.150101,0.175403,77.115722,77.184480,2274.300000,519.660000,4.117516,0.000000
